public,operating_bases,authenticated_users_can_update_operating_bases,PERMISSIVE,{authenticated},UPDATE,(( SELECT auth.uid() AS uid) IS NOT NULL),(( SELECT auth.uid() AS uid) IS NOT NULL)
public,permissions,Public permissions are viewable only by authenticated users,PERMISSIVE,{authenticated},SELECT,true,
public,permissions,authenticated_users_can_delete_permissions,PERMISSIVE,{authenticated},DELETE,(( SELECT auth.uid() AS uid) IS NOT NULL),
public,permissions,authenticated_users_can_insert_permissions,PERMISSIVE,{authenticated},INSERT,,(( SELECT auth.uid() AS uid) IS NOT NULL)
public,permissions,authenticated_users_can_select_permissions,PERMISSIVE,{authenticated},SELECT,(( SELECT auth.uid() AS uid) IS NOT NULL),
public,permissions,authenticated_users_can_update_permissions,PERMISSIVE,{authenticated},UPDATE,(( SELECT auth.uid() AS uid) IS NOT NULL),(( SELECT auth.uid() AS uid) IS NOT NULL)
public,rigs,authenticated_users_can_delete_rigs,PERMISSIVE,{authenticated},DELETE,(( SELECT auth.uid() AS uid) IS NOT NULL),
public,rigs,authenticated_users_can_insert_rigs,PERMISSIVE,{authenticated},INSERT,,(( SELECT auth.uid() AS uid) IS NOT NULL)
public,rigs,authenticated_users_can_select_rigs,PERMISSIVE,{authenticated},SELECT,(( SELECT auth.uid() AS uid) IS NOT NULL),
public,rigs,authenticated_users_can_update_rigs,PERMISSIVE,{authenticated},UPDATE,(( SELECT auth.uid() AS uid) IS NOT NULL),(( SELECT auth.uid() AS uid) IS NOT NULL)
public,role_permissions,Public roles_permissions are viewable only by authenticated use,PERMISSIVE,{authenticated},SELECT,true,
public,role_permissions,authenticated_users_can_delete_role_permissions,PERMISSIVE,{authenticated},DELETE,(( SELECT auth.uid() AS uid) IS NOT NULL),
public,role_permissions,authenticated_users_can_insert_role_permissions,PERMISSIVE,{authenticated},INSERT,,(( SELECT auth.uid() AS uid) IS NOT NULL)
public,role_permissions,authenticated_users_can_select_role_permissions,PERMISSIVE,{authenticated},SELECT,(( SELECT auth.uid() AS uid) IS NOT NULL),
public,role_permissions,authenticated_users_can_update_role_permissions,PERMISSIVE,{authenticated},UPDATE,(( SELECT auth.uid() AS uid) IS NOT NULL),(( SELECT auth.uid() AS uid) IS NOT NULL)
public,roles,Public roles are viewable only by authenticated users,PERMISSIVE,{authenticated},SELECT,true,
public,roles,authenticated_users_can_delete_roles,PERMISSIVE,{authenticated},DELETE,(( SELECT auth.uid() AS uid) IS NOT NULL),
public,roles,authenticated_users_can_insert_roles,PERMISSIVE,{authenticated},INSERT,,(( SELECT auth.uid() AS uid) IS NOT NULL)
public,roles,authenticated_users_can_select_roles,PERMISSIVE,{authenticated},SELECT,(( SELECT auth.uid() AS uid) IS NOT NULL),
public,roles,authenticated_users_can_update_roles,PERMISSIVE,{authenticated},UPDATE,(( SELECT auth.uid() AS uid) IS NOT NULL),(( SELECT auth.uid() AS uid) IS NOT NULL)
public,suppliers,authenticated_users_can_delete_suppliers,PERMISSIVE,{authenticated},DELETE,(( SELECT auth.uid() AS uid) IS NOT NULL),
public,suppliers,authenticated_users_can_insert_suppliers,PERMISSIVE,{authenticated},INSERT,,(( SELECT auth.uid() AS uid) IS NOT NULL)
public,suppliers,authenticated_users_can_select_suppliers,PERMISSIVE,{authenticated},SELECT,(( SELECT auth.uid() AS uid) IS NOT NULL),
public,suppliers,authenticated_users_can_update_suppliers,PERMISSIVE,{authenticated},UPDATE,(( SELECT auth.uid() AS uid) IS NOT NULL),(( SELECT auth.uid() AS uid) IS NOT NULL)
public,tasks,authenticated_users_can_delete_tasks,PERMISSIVE,{authenticated},DELETE,(( SELECT auth.uid() AS uid) IS NOT NULL),
public,tasks,authenticated_users_can_insert_tasks,PERMISSIVE,{authenticated},INSERT,,(( SELECT auth.uid() AS uid) IS NOT NULL)
public,tasks,authenticated_users_can_select_tasks,PERMISSIVE,{authenticated},SELECT,(( SELECT auth.uid() AS uid) IS NOT NULL),
