public,transaction_details,transaction_details_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,transactions,fk_destination_location,FOREIGN KEY,FOREIGN KEY (destination_location_id) REFERENCES locations(id) ON DELETE RESTRICT
public,transactions,fk_origin_location,FOREIGN KEY,FOREIGN KEY (origin_location_id) REFERENCES locations(id) ON DELETE RESTRICT
public,transactions,fk_transaction_creator,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES users(id) ON DELETE RESTRICT
public,transactions,transactions_destination_ubication_id_fkey,FOREIGN KEY,FOREIGN KEY (destination_ubication_id) REFERENCES ubications(id) ON UPDATE CASCADE ON DELETE RESTRICT
public,transactions,transactions_origin_ubication_id_fkey,FOREIGN KEY,FOREIGN KEY (origin_ubication_id) REFERENCES ubications(id) ON UPDATE CASCADE ON DELETE RESTRICT
public,transactions,transactions_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,ubications,fk_ubication_company,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,ubications,ubications_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,user_roles,user_roles_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,user_roles,user_roles_role_id_fkey,FOREIGN KEY,FOREIGN KEY (role_id) REFERENCES roles(id) ON UPDATE CASCADE ON DELETE CASCADE
public,user_roles,user_roles_user_id_fkey,FOREIGN KEY,FOREIGN KEY (user_id) REFERENCES users(id) ON UPDATE CASCADE ON DELETE CASCADE
public,users,fk_user_company,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,users,users_id_fkey,FOREIGN KEY,FOREIGN KEY (id) REFERENCES auth.users(id) ON UPDATE CASCADE ON DELETE CASCADE
public,users,users_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,wells,fk_well_company,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,wells,wells_pkey,PRIMARY KEY,PRIMARY KEY (id)
storage,buckets,buckets_pkey,PRIMARY KEY,PRIMARY KEY (id)
storage,buckets,buckets_versioning_dark_check,CHECK,CHECK ((versioning_status = 'DISABLED'::text))
storage,buckets,buckets_versioning_standard_only_check,CHECK,CHECK (((type = 'STANDARD'::storage.buckettype) OR (versioning_status = 'DISABLED'::text)))
storage,buckets,buckets_versioning_status_check,CHECK,"CHECK ((versioning_status = ANY (ARRAY['DISABLED'::text, 'ENABLED'::text, 'SUSPENDED'::text])))"
storage,buckets_analytics,buckets_analytics_pkey,PRIMARY KEY,PRIMARY KEY (id)
storage,buckets_vectors,buckets_vectors_pkey,PRIMARY KEY,PRIMARY KEY (id)
storage,migrations,migrations_name_key,UNIQUE,UNIQUE (name)
storage,migrations,migrations_pkey,PRIMARY KEY,PRIMARY KEY (id)
storage,objects,objects_bucketId_fkey,FOREIGN KEY,FOREIGN KEY (bucket_id) REFERENCES storage.buckets(id)
storage,objects,objects_pkey,PRIMARY KEY,PRIMARY KEY (id)
storage,s3_multipart_uploads,s3_multipart_uploads_bucket_id_fkey,FOREIGN KEY,FOREIGN KEY (bucket_id) REFERENCES storage.buckets(id)
storage,s3_multipart_uploads,s3_multipart_uploads_pkey,PRIMARY KEY,PRIMARY KEY (id)
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_bucket_id_fkey,FOREIGN KEY,FOREIGN KEY (bucket_id) REFERENCES storage.buckets(id)
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_pkey,PRIMARY KEY,PRIMARY KEY (id)
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_upload_id_fkey,FOREIGN KEY,FOREIGN KEY (upload_id) REFERENCES storage.s3_multipart_uploads(id) ON DELETE CASCADE
storage,vector_indexes,vector_indexes_bucket_id_fkey,FOREIGN KEY,FOREIGN KEY (bucket_id) REFERENCES storage.buckets_vectors(id)
storage,vector_indexes,vector_indexes_pkey,PRIMARY KEY,PRIMARY KEY (id)
